State_Abrvtn,County_FIPS_Cd,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Wk_7,Wk_8,Wk_9,Wk_10,Wk_11,Wk_12,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Prm_Aftr_APTC_LTEQ10,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,Hspnc_Yes,AIAN_NonHspnc,ASN_NonHspnc,NHPI_NonHspnc,BLACK_NonHspnc,WHT_NonHspnc,Othr_Race_NonHspnc,Mlt_Race_NonHspnc,Unk_Race_NonHspnc,Hspnc_No,Unk_Ethncty,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_LT100,FPL_100_138,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_GT400,FPL_OTHR,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65
AL,01001,"3,216",741,"2,475","1,473","1,002",305,"1,168",216,421,611,742,"1,024","1,269","3,018","3,038","3,067","3,098","3,156","3,216",$741,$91,"1,743",*,*,*,*,*,*,*,*,*,143,362,594,690,703,701,23,"1,347","1,869",62,*,180,*,441,"1,458",11,54,"1,005","2,450",704,29,554,"2,493",140,+,69,"1,223","1,489",681,342,194,239,173,29,811,*,101,198,195,162,134,*
AL,01003,"22,871","5,454","17,417","11,583","5,834","4,533","7,050","1,305","3,108","4,774","5,867","7,943","9,952","21,447","21,699","21,867","22,006","22,405","22,871",$718,$100,"8,755","21,849","14,058","1,226","3,061","9,688",83,"21,830",$647,$77,"1,044","2,443","3,749","4,663","4,914","5,941",117,"10,147","12,724",795,*,394,*,"1,002","11,531",129,268,"8,640","16,259","5,817",96,"6,025","15,824",926,+,320,"8,973","10,762","4,122","2,516","1,466","1,978","1,478",229,"4,799",93,580,896,"1,012","1,000","1,190",28
AL,01005,"2,221",667,"1,554",919,635,514,405,132,341,513,657,792,960,"2,000","2,053","2,087","2,141","2,188","2,221",$721,$51,"1,525","2,162","1,553",55,154,"1,344",0,"2,159",$689,$34,*,206,357,534,551,531,*,"1,050","1,171",*,*,28,0,219,446,*,*,"1,508",*,*,*,543,"1,643",*,+,20,"1,344","1,576",280,158,66,68,42,11,185,*,17,25,42,50,49,*
AL,01007,"1,703",515,"1,188",617,571,368,249,93,232,374,454,565,725,"1,581","1,614","1,636","1,665","1,691","1,703",$699,$54,"1,222","1,658","1,219",50,135,"1,034",0,"1,658",$663,$40,*,127,303,399,447,362,*,817,886,16,*,*,0,92,451,*,*,"1,129",831,856,*,389,"1,269",*,+,15,949,"1,151",238,145,41,61,40,12,165,*,*,44,38,34,37,*
AL,01009,"4,828","1,187","3,641","2,050","1,591","1,008","1,042",292,626,944,"1,197","1,532","1,912","4,550","4,581","4,650","4,710","4,752","4,828",$730,$69,"2,922","4,714","3,418",*,544,"2,708",*,"4,711",$677,$57,99,479,765,"1,097","1,233","1,138",17,"2,219","2,609",140,*,51,0,30,"1,983",*,24,"2,586","2,703","1,985",14,974,"3,698",142,+,56,"2,472","2,941",822,397,225,227,141,19,747,*,85,134,153,173,183,*
AL,01011,"1,313",438,875,495,380,355,140,70,182,275,338,458,590,"1,167","1,194","1,220","1,260","1,302","1,313",$702,$32,"1,030","1,287",975,19,82,874,0,"1,287",$684,$18,26,127,247,308,304,286,15,654,659,*,0,*,0,230,79,0,*,992,*,*,*,300,"1,005",*,+,*,867,"1,010",155,79,31,19,*,*,83,0,16,17,15,*,25,*
AL,01013,"1,087",213,874,506,368,147,359,65,142,201,255,338,428,"1,039","1,045","1,053","1,055","1,067","1,087",$753,$74,614,"1,041",832,*,205,557,*,"1,040",$710,$52,*,133,178,218,255,270,*,458,629,*,*,18,0,230,468,*,14,348,*,*,*,136,897,*,+,*,480,593,220,103,47,68,33,*,218,*,23,45,48,56,40,*
AL,01015,"8,113","3,178","4,935","3,261","1,674","2,242","1,019",522,"1,148","1,689","2,095","2,726","3,432","7,140","7,366","7,531","7,712","7,958","8,113",$651,$90,"4,041","7,774","5,917",*,957,"4,653",*,"7,763",$586,$69,220,810,"1,483","1,801","1,895","1,851",53,"3,671","4,442",143,*,226,*,521,"3,138",19,80,"3,971","5,063","2,907",47,"1,488","6,380",198,+,170,"4,211","4,980","1,333",717,317,335,217,44,"1,285",26,147,272,289,263,275,13
AL,01017,"4,841","1,551","3,290","2,042","1,248","1,378",664,295,685,"1,015","1,250","1,662","2,056","4,312","4,502","4,600","4,687","4,772","4,841",$670,$32,"3,580","4,764","3,454",79,323,"3,052",0,"4,763",$649,$22,242,529,898,"1,141","1,050",961,20,"2,327","2,514",85,*,38,0,370,677,11,*,"3,648","1,814","2,942",*,"1,234","3,556",*,+,41,"3,144","3,659",591,294,123,74,41,18,377,*,43,91,69,78,92,*
AL,01019,"2,263",798,"1,465",908,557,477,431,157,338,477,634,795,977,"2,016","2,073","2,133","2,182","2,224","2,263",$760,$79,"1,061","2,194","1,611",98,232,"1,281",0,"2,191",$704,$58,*,211,330,441,547,686,*,"1,064","1,199",13,*,17,0,21,"1,019",*,18,"1,166","1,378",872,*,468,"1,724",*,+,26,"1,167","1,385",331,223,91,111,82,14,340,*,42,49,58,90,98,*
