State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Wk_7,Wk_8,Wk_9,Wk_10,Wk_11,Wk_12,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Prm_Aftr_APTC_LTEQ10,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,Hspnc_Yes,AIAN_NonHspnc,ASN_NonHspnc,NHPI_NonHspnc,BLACK_NonHspnc,WHT_NonHspnc,Othr_Race_NonHspnc,Mlt_Race_NonHspnc,Unk_Race_NonHspnc,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_LT100,FPL_100_138,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_400_500,FPL_GT500,FPL_OTHR,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt,BHP_New_Enrl,BHP_Renrl,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female
AK,HC.gov,"24,124","37,883","31,637","27,100","6,617","27,464","6,083","21,381","15,495","5,886","5,152","10,343","1,552","3,621","5,709","7,292","9,572","12,407","26,503","26,573","26,475","26,574","26,944","27,464",$967 ,$230 ,"7,044","23,610","4,784",143,"1,847","1,546","1,248","23,436",$865 ,$122 ,"4,335","1,879","4,455","5,194","4,688","6,591",322,"13,177","14,287","1,410","1,178","1,547",120,327,"16,704",197,"1,062","4,919","1,198","1,559",127,356,"17,283",424,"1,185","5,332","22,271","3,783","13,661","13,803",+,"11,197","3,721","12,546",+,276,"1,103","2,317","4,323","4,808","3,661","4,930","1,978","3,214","1,957","5,398",305,329,"1,289","1,272","1,015","1,123",65,+,+,+,+,+,+,+,+,+,+,+
AL,HC.gov,"359,582","445,785","428,447","393,774","17,287","386,195","110,272","275,923","170,472","105,451","76,200","94,272","23,046","51,771","79,425","100,677","131,019","162,736","354,650","361,143","366,209","371,176","379,269","386,195",$706 ,$75 ,"207,187","371,423","261,255","15,763","44,501","200,347",644,"371,010",$656 ,$55 ,"12,649","40,629","70,831","85,293","87,192","87,222","2,379","176,113","210,082","8,716","1,038","11,149",88,"46,397","124,981","1,688","3,659","188,479","1,155","11,180",104,"46,608","128,903","2,934","3,947","191,364","237,785","139,694","122,977","263,218","2,021","90,440","283,062","10,672",+,"5,879","192,991","228,883","63,542","35,197","17,075","19,036","6,704","7,083","2,796","65,920",923,"7,514","14,162","14,115","13,578","15,089",539,+,+,+,+,+,+,+,+,+,+,+
AR,HC.gov,"139,328","198,000","174,882","159,130","25,020","156,607","53,127","103,480","56,525","46,955","31,828","24,697","6,672","17,327","27,652","34,372","45,558","58,682","141,860","145,017","147,125","149,438","153,461","156,607",$555 ,$116 ,"53,553","144,896","98,927","11,805","30,994","54,743","1,385","144,575",$476 ,$82 ,"19,082","15,597","24,226","29,153","30,006","37,558",985,"70,656","85,951","5,313",866,"3,225",85,"7,294","59,351",421,"1,732","78,320",911,"3,242",94,"7,344","61,425","1,323","1,871","80,397","104,575","46,719","62,514","94,093",+,"37,722","112,935","5,950",+,814,"15,913","56,640","37,708","22,008","11,883","11,736","4,575","5,909","5,334","11,653","2,517",861,"1,834","2,111","1,834","2,352",144,+,+,+,+,+,+,+,+,+,+,+
AZ,HC.gov,"293,841","418,915","390,259","352,886","31,881","348,055","102,716","245,339","148,318","97,021","77,919","70,399","16,124","42,200","67,823","85,175","112,113","142,653","320,326","325,503","329,223","332,686","340,167","348,055",$523 ,$121 ,"148,992","310,132","168,812","23,585","49,267","94,381","1,579","309,366",$452 ,$75 ,"46,518","31,819","49,065","58,048","64,879","93,862","3,864","168,462","179,593","41,632","1,138","14,148",253,"5,406","97,115","1,767","4,211","182,385","1,529","14,355",315,"5,844","116,252","6,739","5,458","197,563","174,992","131,431","35,495","312,560",258,"128,534","201,802","17,461",+,"2,246","28,576","114,197","74,262","51,724","28,187","29,585","12,783","17,417","17,654","34,673","4,836","2,621","5,884","5,958","5,864","9,058",452,+,+,+,+,+,+,+,+,+,+,+
CA,SBM,"3,984,153","8,630,988","3,124,752","2,201,898",NR,"1,784,653","306,382","1,478,271","455,635","1,022,636",NR,NR,"246,964","315,525","366,868","384,656","416,054","454,324","1,716,077","1,733,137","1,749,064","1,731,602","1,736,391","1,745,275",$655 ,$195 ,"425,260","1,555,528","765,245",NR,NR,NR,NR,"1,554,271",$526 ,$143 ,"137,235","160,498","318,958","296,698","335,584","513,628","22,052","867,771","916,881","407,849","4,134","349,360","1,455","39,635","485,892","107,577","41,664","347,087","6,220","351,794","1,682","41,102","567,076","171,102","51,581",NR,NR,NR,NR,NR,"15,969","460,034","1,079,327","159,969","69,354","10,307","87,175","278,204","438,827","285,784","227,125","231,051","97,931","123,811","91,613","350,468","18,535","29,602","85,159","66,888","61,538","84,567","4,179",+,+,+,+,+,+,+,+,+,+,+
CO,SBM,"278,051","340,731","269,343","208,267",NR,"237,106","48,135","188,971","110,114","78,857",NR,NR,"11,474","29,608","45,546","55,796","77,020","93,867","210,643","214,862","218,728","222,235","229,384","237,106",$556 ,$204 ,"67,874","183,473","63,466",NR,NR,NR,NR,"183,198",$455 ,$133 ,"28,100","18,756","36,877","39,843","38,787","62,695","12,048","113,267","123,807","14,317",596,"11,382",159,"2,047","103,214",+,"3,675","101,716",803,"11,464",188,"2,190","110,087",+,"4,385",NR,NR,NR,NR,NR,"1,937","96,052","73,920","65,197",+,"2,962","4,032","14,786","36,414","31,516","29,074","36,073","18,387","27,540","40,354","75,112","7,882","4,966","16,736","15,660","11,522","14,960","3,386",+,+,+,+,+,+,+,+,+,+,+
CT,SBM,"402,735","698,385","157,464","131,412","273,810","129,000","28,593","100,407","31,375","69,032",NR,NR,"5,017","12,946","20,565","26,221","30,736","35,351","120,785","121,841","122,931","124,647","126,972","129,000",$897 ,$233 ,"27,495","111,811","56,116",NR,NR,NR,NR,"111,789",$766 ,$153 ,"8,950","14,023","17,859","18,105","23,392","44,185","2,486","58,205","70,795","17,885",77,"6,126",39,"6,458","62,437","1,894","2,011","32,073",109,"6,184",64,"6,909","65,721","2,824","2,272",NR,NR,NR,NR,NR,"1,576","35,648","69,287","22,489",+,"3,060","8,795","12,991","21,792","17,479","13,063","19,019","9,992","16,508","15,096","14,055",877,"1,312","3,073","2,211","2,410","3,834",338,+,+,+,+,+,+,+,+,+,+,+
DC,SBM,"16,172","20,770","16,856","3,430","3,914","14,799","2,705","12,094","1,460","10,634",NR,NR,262,640,835,"1,117","1,433","1,572","14,150","14,214","14,248","14,224","14,301","14,513",$894 ,$775 ,90,"3,136",385,NR,NR,NR,NR,"3,129",$561 ,$447 ,"1,536",882,"3,765","3,428","2,459","2,504",225,"6,999","7,800",163,25,605,4,"1,476","4,570",540,112,"7,304",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,420,"4,565","3,207","4,168","2,439",422,89,120,161,700,590,789,673,639,"10,705","4,262",323,186,"1,044","1,125",747,591,246,+,+,+,+,+,+,+,+,+,+,+
DE,HC.gov,"37,052","54,436","49,904","44,917","5,131","44,842","10,718","34,124","20,364","13,760","7,972","12,392","2,039","4,841","7,806","9,667","13,137","17,133","41,716","42,154","42,455","42,933","43,872","44,842",$723 ,$196 ,"7,971","40,458","12,390",681,"5,762","5,846",101,"40,409",$585 ,$147 ,"5,839","3,702","6,424","7,349","7,686","13,161",681,"20,624","24,218","2,845",141,"2,961",13,"4,128","18,549",317,728,"15,160",156,"2,966",19,"4,313","19,728",782,830,"16,048","30,988","11,009","11,279","33,563",146,"11,587","13,061","19,508",540,372,"2,909","8,374","9,167","7,182","5,199","6,000","2,803","4,098","1,647","4,319",407,324,661,820,756,"1,255",96,+,+,+,+,+,+,+,+,+,+,+
FL,HC.gov,"3,218,279","4,534,002","4,464,334","4,301,360","68,270","4,211,902","1,009,429","3,202,473","2,390,303","812,170","1,301,895","1,088,408","261,948","711,653","1,148,789","1,452,725","1,833,689","2,271,047","3,986,564","4,034,546","4,078,996","4,095,508","4,152,871","4,211,902",$617 ,$65 ,"2,077,409","4,098,736","2,630,196","55,812","378,015","2,194,705","1,664","4,096,559",$568 ,$49 ,"459,551","475,922","688,847","816,224","806,412","865,894","99,052","2,035,315","2,176,587","668,173","2,099","69,277",897,"200,527","546,346","16,939","18,333","2,689,311","2,888","70,275","1,389","207,196","842,718","52,404","23,925","3,011,107","1,274,868","2,268,861","128,926","4,082,976","2,742","1,292,350","2,674,179","226,291","16,340","69,772","2,256,043","2,718,501","603,978","323,140","168,069","154,275","57,884","75,610","40,673","249,497","26,347","24,032","40,611","46,303","48,945","59,799","3,460",+,+,+,+,+,+,+,+,+,+,+
