zip,Cnsmr,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC
03031,480,298,$334
03032,253,157,$355
03033,253,178,$324
03034,224,153,$335
03036,294,207,$340
03037,229,152,$325
03038,"1,539","1,146",$328
03042,317,217,$354
03043,99,75,$316
03044,239,159,$346
03045,628,412,$355
03046,160,117,$277
03047,117,92,$342
03048,146,118,$362
03049,460,292,$311
03051,981,726,$337
03052,297,208,$325
03053,"1,118",762,$350
03054,"1,093",764,$341
03055,619,429,$360
03057,117,85,$318
03060,"1,302","1,118",$362
03061,*,*,*
03062,"1,016",700,$353
03063,580,449,$378
03064,616,483,$346
03070,303,210,$299
03071,217,167,$320
03073,*,*,*
03076,528,371,$342
03077,474,329,$362
03079,"1,332",939,$353
03082,104,79,$349
03084,114,83,$302
03086,202,154,$349
03087,769,400,$335
03101,206,163,$364
03102,"1,362","1,060",$344
03103,"1,721","1,415",$351
03104,"1,429","1,071",$343
03105,*,*,*
03106,723,495,$357
03108,*,*,*
03109,488,352,$342
03110,"1,034",579,$302
03215,36,22,$312
03216,109,79,$349
03217,136,96,$358
03218,75,48,$394
03220,330,260,$381
03221,127,95,$337
03222,342,259,$372
03223,261,212,$356
03224,111,76,$383
03225,172,130,$373
03226,78,57,$345
03227,98,55,$394
03229,322,208,$301
03230,59,42,$376
03231,*,*,*
03233,*,*,*
03234,212,146,$373
03235,353,270,$370
03237,180,124,$343
03238,*,*,*
03240,46,*,*
03241,62,51,$387
03242,219,159,$316
03243,36,*,*
03244,359,276,$361
03245,143,97,$375
03246,864,683,$357
03247,*,*,*
03249,406,271,$363
03251,153,107,$374
03253,485,343,$341
03254,409,293,$361
03255,126,92,$362
03256,133,104,$399
03257,224,135,$347
03258,129,95,$325
03259,22,*,*
03260,44,25,$297
03261,207,146,$349
03262,123,83,$356
03263,218,184,$366
03264,295,223,$330
03266,158,140,$365
03268,51,36,$355
03269,157,100,$395
03273,22,*,*
03275,499,350,$363
03276,424,349,$344
03278,172,119,$377
03279,62,50,$362
03280,63,49,$453
03281,412,282,$363
03282,70,51,$310
03284,56,39,$434
03285,255,197,$376
03287,105,65,$347
03289,*,*,*
03290,278,181,$328
03291,*,*,*
03293,*,*,*
03301,"1,300",943,$347
03302,*,*,*
03303,563,417,$352
03304,318,187,$308
03307,245,173,$324
03431,995,756,$346
03435,*,*,*
03440,130,100,$337
03441,*,*,*
03442,74,55,$441
03443,29,*,*
03444,140,96,$298
03445,43,31,$375
03446,292,237,$358
03447,100,74,$433
03448,31,*,*
03449,165,118,$336
03450,108,75,$363
03451,140,118,$335
03452,256,179,$350
03455,124,92,$314
03456,34,*,*
03457,51,35,$467
03458,428,318,$357
03461,278,193,$334
03462,75,51,$368
03464,40,*,*
03465,82,*,*
03466,99,62,$322
03467,83,61,$387
03468,*,*,*
03469,*,*,*
03470,222,172,$359
03561,371,275,$370
03570,310,271,$428
03574,170,134,$334
03575,*,*,*
03576,185,159,$415
03579,42,*,*
03580,111,71,$381
03581,170,126,$384
03582,136,107,$435
03583,61,46,$380
03584,226,155,$382
03585,129,97,$375
03586,70,34,$402
03588,81,66,$417
03590,37,*,*
03592,92,73,$488
03593,17,*,*
03595,32,*,*
03597,19,*,*
03598,157,128,$358
03601,22,*,*
03602,172,136,$367
03603,192,155,$362
03604,*,*,*
03605,48,36,$392
03607,11,*,*
03608,159,106,$331
03609,15,*,*
03740,64,46,$359
03741,183,144,$406
03743,492,425,$372
03745,90,58,$341
03746,*,*,*
03748,171,113,$391
03749,*,*,*
03750,43,21,$195
03751,13,*,*
03752,30,*,*
03753,129,82,$348
03754,*,*,*
03755,242,133,$302
03756,*,*,*
03765,24,13,$415
03766,364,251,$373
03768,102,40,$281
03769,*,*,*
03770,24,*,*
03771,32,20,$424
03773,274,224,$414
03774,71,40,$458
03777,60,44,$410
03779,32,*,*
03780,25,*,*
03781,79,53,$353
03782,161,96,$307
03784,184,131,$346
03785,84,62,$426
03801,"1,462",907,$317
03802,*,*,*
03809,222,167,$380
03810,135,98,$367
03811,273,181,$317
03812,159,123,$343
03813,308,220,$373
03814,142,118,$370
03816,154,128,$381
03817,39,*,*
03818,313,238,$383
03819,232,159,$312
03820,"1,618","1,096",$318
03821,*,*,*
03823,103,60,$257
03824,276,166,$306
03825,484,331,$361
03826,110,78,$325
03827,195,139,$349
03830,70,58,$403
03832,54,39,$335
03833,"1,120",720,$324
03835,292,220,$384
03836,103,83,$352
03837,79,60,$325
03838,100,83,$375
03839,187,138,$334
03840,264,156,$367
03841,289,196,$337
03842,850,607,$343
03843,*,*,*
03844,119,63,$313
03845,116,82,$358
03846,130,82,$356
03847,*,*,*
03848,299,221,$314
03849,152,111,$377
03850,26,*,*
03851,174,142,$416
03852,37,*,*
03853,50,39,$310
03854,54,25,$320
03855,134,101,$354
03856,107,57,$288
03857,500,343,$292
03858,187,135,$321
03859,*,*,*
03860,326,252,$351
03861,249,160,$348
03862,304,167,$348
03864,142,118,$368
03865,337,246,$344
03867,859,678,$376
03868,204,148,$423
03869,158,90,$323
03870,370,210,$342
03871,32,15,$331
03872,234,185,$373
03873,312,244,$294
03874,362,277,$399
03875,94,69,$417
03878,527,408,$358
03882,94,71,$440
03883,33,*,*
03884,204,141,$353
03885,505,311,$313
03886,190,153,$408
03887,90,73,$338
03890,50,34,$333
03894,480,376,$340
03896,*,*,*
03897,*,*,*
19701,"1,872","1,711",$570
19702,"2,302","2,097",$573
19703,654,608,$580
19706,74,*,*
19707,821,680,$552
19709,"2,178","1,879",$529
19710,*,*,*
19711,"1,892","1,663",$557
19713,"1,334","1,237",$597
19714,*,*,*
19720,"2,340","2,206",$607
19726,*,*,*
19730,14,*,*
19731,*,*,*
19732,*,*,*
19733,13,*,*
19734,512,450,$565
19736,*,*,*
19801,855,817,$629
19802,"1,088","1,035",$636
19803,"1,008",817,$580
19804,764,704,$603
