" Table 4 
National Health Expenditures by Source of Funds and Type of Expenditure: Calendar Years 2016-2023  ",,,,,,,,,,
 , , ,Health Insurance,,,,,,,
Year and Type of Expenditure,Total,Out of Pocket,Health Insurance,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs1,Other Third Party Payers2,Government Public Health Activities,Investment
Year 2016,Amount in Billions,,,,,,,,,
National Health Expenditures,"$3,307.9",$364.9,"$2,394.5","$1,028.3",$675.9,$564.9,$125.4,$289.6,$89.9,$169.0
      Health Consumption Expenditures,"3,138.9",364.9,"2,394.5","1,028.3",675.9,564.9,125.4,289.6,89.9,-   
              Personal Health Care,"2,793.8",364.9,"2,167.8",916.4,629.0,503.4,119.0,261.1,-   ,-   
                     Hospital Care,"1,035.4",31.5,902.2,371.7,274.1,190.1,66.3,101.7,-   ,-   
                     Professional Services,895.1,133.8,671.2,368.7,176.3,92.2,34.0,90.1,-   ,-   
                            Physician and Clinical Services,676.8,58.1,541.3,283.6,154.5,73.1,30.1,77.4,-   ,-   
                            Other Professional Services,92.1,22.6,58.3,29.4,21.2,7.3,0.3,11.2,-   ,-   
                            Dental Services,126.2,53.0,71.6,55.6,0.5,11.9,3.6,1.5,-   ,-   
"                    Other Health, Residential, and Personal Care3",174.2,5.2,120.2,12.1,4.9,100.8,2.4,48.8,-   ,-   
                     Home Health Care4,93.8,9.1,82.1,11.6,37.1,32.7,0.7,2.6,-   ,-   
"                     Nursing Care Facilities and Continuing Care Retirement Communities4, 5",162.0,43.1,106.4,13.7,37.0,50.7,5.1,12.4,-   ,-   
                     Retail Outlet Sales of Medical Products,433.3,142.2,285.7,138.7,99.6,37.0,10.5,5.4,-   ,-   
                            Prescription Drugs,313.3,50.2,258.8,129.3,89.9,29.3,10.3,4.4,-   ,-   
                            Durable Medical Equipment,46.7,20.9,24.8,9.4,7.6,7.6,0.2,1.0,-   ,-   
                            Other Non-Durable Medical Products,73.3,71.1,2.1,-   ,2.1,-   ,-   ,0.0,-   ,-   
              Government Administration6 ,44.1,-   ,40.0,-   ,10.3,24.7,4.9,4.1,-   ,-   
              Net Cost of Health Insurance7,211.1,-   ,186.7,111.9,36.5,36.8,1.4,24.4,-   ,-   
              Government Public Health Activities,89.9,-   ,-   ,-   ,-   ,-   ,-   ,-   ,89.9,-   
      Investment,169.0,-   ,-   ,-   ,-   ,-   ,-   ,-   ,-   ,169.0
               Research8,47.6,-   ,-   ,-   ,-   ,-   ,-   ,-   ,-   ,47.6
               Structures and Equipment,121.4,-   ,-   ,-   ,-   ,-   ,-   ,-   ,-   ,121.4
Year 2017,Amount in Billions,,,,,,,,,
National Health Expenditures,"$3,446.4",$370.3,"$2,493.4","$1,077.8",$705.0,$578.5,$132.1,$304.0,$95.4,$183.3
      Health Consumption Expenditures,"3,263.1",370.3,"2,493.4","1,077.8",705.0,578.5,132.1,304.0,95.4,-   
              Personal Health Care,"2,901.3",370.3,"2,256.3",955.7,659.2,516.0,125.4,274.6,-   ,-   
                     Hospital Care,"1,077.6",32.7,937.1,388.4,286.6,192.2,69.8,107.8,-   ,-   
                     Professional Services,937.5,138.1,704.9,386.3,188.2,94.4,36.0,94.4,-   ,-   
                            Physician and Clinical Services,709.4,59.6,568.6,297.8,164.1,74.9,31.8,81.3,-   ,-   
                            Other Professional Services,96.9,23.8,61.5,30.6,23.2,7.3,0.4,11.6,-   ,-   
                            Dental Services,131.1,54.8,74.8,57.9,0.9,12.2,3.8,1.6,-   ,-   
"                    Other Health, Residential, and Personal Care3",184.0,6.1,127.1,12.4,4.9,107.3,2.5,50.8,-   ,-   
                     Home Health Care4,99.4,10.5,85.9,13.2,38.4,33.6,0.7,2.9,-   ,-   
"                     Nursing Care Facilities and Continuing Care Retirement Communities4, 5",163.4,41.8,108.2,14.2,37.4,51.3,5.4,13.4,-   ,-   
                     Retail Outlet Sales of Medical Products,439.5,141.2,293.0,141.2,103.6,37.2,11.0,5.3,-   ,-   
                            Prescription Drugs,315.7,46.0,265.4,131.7,93.5,29.4,10.8,4.3,-   ,-   
                            Durable Medical Equipment,47.5,20.8,25.7,9.6,8.1,7.8,0.2,1.0,-   ,-   
                            Other Non-Durable Medical Products,76.3,74.4,2.0,-   ,2.0,-   ,-   ,0.0,-   ,-   
              Government Administration6 ,44.1,-   ,41.1,-   ,9.7,26.0,5.3,3.0,-   ,-   
              Net Cost of Health Insurance7,222.4,-   ,196.1,122.1,36.1,36.5,1.3,26.3,-   ,-   
              Government Public Health Activities,95.4,-   ,-   ,-   ,-   ,-   ,-   ,-   ,95.4,-   
      Investment,183.3,-   ,-   ,-   ,-   ,-   ,-   ,-   ,-   ,183.3
               Research8,50.9,-   ,-   ,-   ,-   ,-   ,-   ,-   ,-   ,50.9
               Structures and Equipment,132.4,-   ,-   ,-   ,-   ,-   ,-   ,-   ,-   ,132.4
" Table 4 - Continued 
National Health Expenditures by Source of Funds and Type of Expenditure: Calendar Years 2016-2023    ",,,,,,,,,,
 , , ,Health Insurance,,,,,,,
Year and Type of Expenditure,Total,Out of Pocket,Health Insurance,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs1,Other Third Party Payers2,Government Public Health Activities,Investment
Year 2018,Amount in Billions,,,,,,,,,
National Health Expenditures,"$3,603.8",$386.2,"$2,609.0","$1,124.3",$751.6,$596.5,$136.5,$316.6,$99.3,$192.7
      Health Consumption Expenditures,"3,411.0",386.2,"2,609.0","1,124.3",751.6,596.5,136.5,316.6,99.3,-   
              Personal Health Care,"3,017.0",386.2,"2,346.0",985.5,698.8,531.9,129.9,284.8,-   ,-   
                     Hospital Care,"1,122.6",34.1,976.6,405.3,302.7,197.9,70.8,112.0,-   ,-   
                     Professional Services,977.9,143.9,736.6,394.0,204.9,98.7,39.0,97.4,-   ,-   
                            Physician and Clinical Services,736.1,60.8,591.9,300.8,178.1,78.4,34.7,83.4,-   ,-   
                            Other Professional Services,104.5,25.8,66.5,32.8,25.6,7.7,0.4,12.2,-   ,-   
                            Dental Services,137.4,57.3,78.3,60.5,1.2,12.6,3.9,1.8,-   ,-   
"                    Other Health, Residential, and Personal Care3",189.9,6.2,130.1,12.6,4.9,110.0,2.7,53.6,-   ,-   
                     Home Health Care4,105.6,11.9,90.7,14.4,40.4,35.1,0.8,3.0,-   ,-   
"                     Nursing Care Facilities and Continuing Care Retirement Communities4, 5",167.6,43.9,110.3,15.5,37.6,51.5,5.7,13.4,-   ,-   
                     Retail Outlet Sales of Medical Products,453.3,146.2,301.7,143.8,108.2,38.8,10.9,5.5,-   ,-   
                            Prescription Drugs,322.7,46.4,271.9,133.2,97.2,30.8,10.7,4.4,-   ,-   
                            Durable Medical Equipment,49.9,21.2,27.6,10.6,8.8,8.1,0.2,1.1,-   ,-   
                            Other Non-Durable Medical Products,80.7,78.5,2.2,-   ,2.2,-   ,-   ,0.0,-   ,-   
