"Table 5-5
Medicare Spending by Sponsor: Calendar Years 1987-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 ,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare,$83.1,$89.0,$101.1,$110.2,$120.6,$136.0,$150.0,$167.7,$184.4,$198.7,$210.4,$209.4,$213.2,$224.8,$247.7,$265.4,$282.7,$311.1,$339.8,$403.7,$432.7,$467.0,$498.6,$519.5,$544.6,$568.3,$588.9,$617.3,$647.7,$675.9,$705.0,$751.6,$804.5,$834.6,$895.6,$952.5,"$1,029.8"
Private Business,24.5,26.2,28.0,29.3,32.6,34.4,35.9,40.4,43.1,45.6,49.4,53.6,57.4,62.1,63.2,62.9,64.3,68.4,72.3,77.0,81.2,82.2,77.2,78.8,82.6,87.2,90.0,95.1,100.0,102.8,107.9,113.4,118.7,120.6,134.6,144.8,151.9
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes1,24.5,26.2,28.0,29.3,32.6,34.4,35.9,40.4,43.1,45.6,49.4,53.6,57.4,62.1,63.2,62.9,64.3,68.4,72.3,77.0,81.2,82.2,77.2,78.8,82.6,87.2,90.0,95.1,100.0,102.8,107.9,113.4,118.7,120.6,134.6,144.8,151.9
Households  ,35.7,40.3,45.0,45.9,50.2,53.2,56.8,65.2,72.3,74.5,78.4,84.7,91.3,98.9,101.0,104.2,108.0,116.1,125.7,140.3,149.4,156.4,155.5,160.9,168.1,178.6,189.6,203.4,213.6,225.0,241.4,260.0,271.8,284.7,305.3,341.3,355.1
     Employee and Self-Employment Payroll Taxes and Voluntary Premiums Paid to Medicare Hospital Insurance Trust Fund 2,29.5,31.5,33.7,35.7,39.8,42.0,43.8,50.6,55.9,59.2,62.9,69.1,75.0,82.5,82.9,84.3,86.3,91.5,96.6,103.7,109.1,112.2,108.2,111.8,117.1,125.5,130.6,140.5,148.8,154.9,162.8,169.9,176.4,183.4,199.0,218.9,231.7
"     Premiums Paid by Individuals to Medicare Supplementary Medical Insurance
         Trust Fund 3",6.2,8.8,11.3,10.2,10.4,11.2,13.0,14.5,16.4,15.2,15.5,15.5,16.3,16.3,18.1,19.9,21.7,24.7,29.1,36.6,40.3,44.2,47.3,49.0,51.0,53.1,59.0,62.9,64.8,70.1,78.6,90.1,95.5,101.3,106.3,122.4,123.5
Federal Government            ,19.5,18.8,24.0,30.4,32.7,43.0,51.4,55.6,62.0,71.3,74.7,62.8,55.6,54.5,73.4,87.6,99.2,114.5,128.5,166.5,179.9,205.3,243.0,260.0,269.6,276.5,282.4,291.6,306.0,317.4,322.7,344.1,378.5,394.8,419.8,426.6,478.8
