"Table 6 
Personal Health Care Expenditures1; Levels, Percent Change, and Percent Distribution, 
by Source of Funds: Selected Calendar Years 1970-2023",,,,,,,,
 , , ,,Health Insurance2,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4
,Amount in Billions,,,,,,,
1970,$62.4   ,$24.2   ,$29.4   ,$13.8   ,$7.3   ,$5.0   ,$3.3   ,$8.8   
1980,214.3   ,55.3   ,130.8   ,60.3   ,36.3   ,24.7   ,9.6   ,28.2   
1990,611.9   ,133.8   ,398.1   ,200.1   ,107.1   ,69.7   ,21.2   ,80.0   
2000,"1,156.5   ",193.6   ,832.9   ,394.8   ,216.3   ,186.9   ,34.9   ,130.1   
2001,"1,256.5   ",200.9   ,919.9   ,433.0   ,239.1   ,208.4   ,39.4   ,135.8   
2002,"1,365.5   ",219.1   ,"1,004.6   ",472.7   ,256.6   ,230.1   ,45.2   ,141.7   
2003,"1,475.9   ",235.1   ,"1,087.9   ",511.8   ,274.0   ,249.4   ,52.7   ,152.8   
2004,"1,582.4   ",248.4   ,"1,173.6   ",545.6   ,300.1   ,270.7   ,57.2   ,160.3   
2005,"1,693.8   ",264.5   ,"1,261.5   ",587.1   ,326.3   ,287.6   ,60.5   ,167.9   
2006,"1,806.5   ",277.9   ,"1,350.3   ",618.5   ,382.3   ,283.3   ,66.2   ,178.2   
2007,"1,921.5   ",293.6   ,"1,436.5   ",656.2   ,408.7   ,301.1   ,70.5   ,191.4   
2008,"2,007.2   ",300.1   ,"1,517.2   ",679.6   ,442.0   ,317.9   ,77.7   ,189.9   
2009,"2,105.5   ",296.7   ,"1,611.3   ",709.2   ,470.1   ,346.3   ,85.7   ,197.5   
2010,"2,180.5   ",301.5   ,"1,670.2   ",725.4   ,488.8   ,365.7   ,90.3   ,208.8   
2011,"2,253.9   ",310.2   ,"1,732.7   ",752.5   ,511.8   ,373.7   ,94.6   ,211.0   
2012,"2,346.2   ",323.2   ,"1,797.8   ",778.7   ,533.6   ,388.3   ,97.3   ,225.2   
2013,"2,404.8   ",330.8   ,"1,839.8   ",779.8   ,553.5   ,405.7   ,100.8   ,234.3   
2014,"2,526.3   ",340.4   ,"1,948.4   ",815.1   ,579.3   ,446.9   ,107.1   ,237.5   
2015,"2,673.0   ",352.7   ,"2,075.4   ",869.6   ,606.1   ,484.5   ,115.2   ,244.9   
2016,"2,793.8   ",364.9   ,"2,167.8   ",916.4   ,629.0   ,503.4   ,119.0   ,261.1   
2017,"2,901.3   ",370.3   ,"2,256.3   ",955.7   ,659.2   ,516.0   ,125.4   ,274.6   
2018,"3,017.0   ",386.2   ,"2,346.0   ",985.5   ,698.8   ,531.9   ,129.9   ,284.8   
2019,"3,172.8   ",403.0   ,"2,466.4   ","1,025.5   ",749.2   ,553.7   ,138.1   ,303.4   
2020,"3,368.3   ",398.1   ,"2,498.7   ",998.4   ,763.0   ,588.0   ,149.3   ,471.5   
2021,"3,581.3   ",440.9   ,"2,739.7   ","1,099.6   ",835.4   ,647.2   ,157.6   ,400.7   
2022,"3,755.2   ",471.5   ,"2,934.7   ","1,179.8   ",880.4   ,712.0   ,162.6   ,349.0   
2023,"4,107.4   ",505.7   ,"3,226.8   ","1,313.9   ",955.8   ,773.9   ,183.3   ,374.8   
,Average Annual Percent Change from Previous Year Shown,,,,,,,
19705,10.4%,6.6%,16.2%,11.0%,—,—,6.9%,8.7%
1980,13.1   ,8.6   ,16.1   ,15.9   ,17.4   ,17.2   ,11.4   ,12.4   
1990,11.1   ,9.2   ,11.8   ,12.7   ,11.4   ,10.9   ,8.2   ,11.0   
2000,6.6   ,3.8   ,7.7   ,7.0   ,7.3   ,10.4   ,5.1   ,5.0   
2001,8.6   ,3.8   ,10.4   ,9.7   ,10.5   ,11.5   ,12.9   ,4.4   
2002,8.7   ,9.1   ,9.2   ,9.2   ,7.3   ,10.4   ,14.9   ,4.4   
2003,8.1   ,7.3   ,8.3   ,8.3   ,6.8   ,8.4   ,16.5   ,7.8   
2004,7.2   ,5.6   ,7.9   ,6.6   ,9.5   ,8.5   ,8.5   ,4.9   
2005,7.0   ,6.5   ,7.5   ,7.6   ,8.7   ,6.2   ,5.8   ,4.7   
2006,6.6   ,5.1   ,7.0   ,5.3   ,17.2   ,-1.5   ,9.5   ,6.1   
2007,6.4   ,5.6   ,6.4   ,6.1   ,6.9   ,6.3   ,6.4   ,7.4   
2008,4.5   ,2.2   ,5.6   ,3.6   ,8.1   ,5.6   ,10.2   ,-0.8   
2009,4.9   ,-1.1   ,6.2   ,4.4   ,6.4   ,9.0   ,10.3   ,4.0   
2010,3.6   ,1.6   ,3.7   ,2.3   ,4.0   ,5.6   ,5.3   ,5.8   
2011,3.4   ,2.9   ,3.7   ,3.7   ,4.7   ,2.2   ,4.8   ,1.1   
2012,4.1   ,4.2   ,3.8   ,3.5   ,4.3   ,3.9   ,2.8   ,6.7   
2013,2.5   ,2.3   ,2.3   ,0.1   ,3.7   ,4.5   ,3.6   ,4.0   
2014,5.1   ,2.9   ,5.9   ,4.5   ,4.6   ,10.2   ,6.2   ,1.4   
2015,5.8   ,3.6   ,6.5   ,6.7   ,4.6   ,8.4   ,7.5   ,3.1   
2016,4.5   ,3.5   ,4.5   ,5.4   ,3.8   ,3.9   ,3.3   ,6.6   
2017,3.8   ,1.5   ,4.1   ,4.3   ,4.8   ,2.5   ,5.3   ,5.2   
2018,4.0   ,4.3   ,4.0   ,3.1   ,6.0   ,3.1   ,3.6   ,3.7   
2019,5.2   ,4.4   ,5.1   ,4.1   ,7.2   ,4.1   ,6.3   ,6.5   
2020,6.2   ,-1.2   ,1.3   ,-2.6   ,1.8   ,6.2   ,8.1   ,55.4   
