"Table 7 
Hospital Care Expenditures; Levels, Percent Change, and Percent Distribution, 
by Source of Funds: Selected Calendar Years 1970-2023",,,,,,,,
 , , ,,Health Insurance2,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4
,Amount in Billions,,,,,,,
1970,$27.2   ,$2.4   ,$19.3   ,$8.7   ,$5.4   ,$2.6   ,$2.6   ,$5.5   
1980,100.5   ,5.3   ,79.4   ,36.1   ,26.3   ,9.2   ,7.8   ,15.8   
1990,250.4   ,11.1   ,205.0   ,94.7   ,67.3   ,26.7   ,16.3   ,34.4   
2000,415.5   ,13.3   ,355.6   ,138.2   ,123.5   ,70.9   ,22.9   ,46.7   
2001,449.4   ,13.7   ,387.8   ,150.3   ,135.2   ,77.4   ,24.9   ,47.9   
2002,486.5   ,15.2   ,421.3   ,165.8   ,143.7   ,84.5   ,27.3   ,50.1   
2003,525.9   ,16.9   ,453.4   ,180.8   ,151.0   ,90.3   ,31.3   ,55.6   
2004,565.3   ,18.2   ,489.3   ,196.0   ,162.9   ,96.8   ,33.6   ,57.8   
2005,608.6   ,19.5   ,528.1   ,212.2   ,176.6   ,103.8   ,35.5   ,60.9   
2006,651.2   ,20.9   ,563.3   ,231.7   ,184.9   ,108.9   ,37.8   ,67.0   
2007,691.9   ,21.9   ,596.9   ,247.1   ,193.4   ,117.3   ,39.1   ,73.1   
2008,721.6   ,23.1   ,629.7   ,257.6   ,205.9   ,122.9   ,43.3   ,68.8   
2009,771.0   ,25.0   ,670.9   ,274.0   ,214.8   ,134.0   ,48.1   ,75.1   
2010,808.8   ,27.0   ,698.7   ,284.4   ,220.8   ,142.2   ,51.4   ,83.1   
2011,833.2   ,28.4   ,720.9   ,295.5   ,227.7   ,144.3   ,53.3   ,84.0   
2012,878.0   ,31.0   ,755.5   ,312.6   ,238.0   ,150.6   ,54.4   ,91.5   
2013,906.8   ,33.2   ,775.7   ,315.6   ,246.3   ,157.1   ,56.8   ,97.9   
2014,940.5   ,32.4   ,810.4   ,324.5   ,253.4   ,171.7   ,60.7   ,97.7   
2015,989.0   ,30.6   ,861.9   ,350.1   ,261.7   ,186.1   ,63.9   ,96.5   
2016,"1,035.4   ",31.5   ,902.2   ,371.7   ,274.1   ,190.1   ,66.3   ,101.7   
2017,"1,077.6   ",32.7   ,937.1   ,388.4   ,286.6   ,192.2   ,69.8   ,107.8   
2018,"1,122.6   ",34.1   ,976.6   ,405.3   ,302.7   ,197.9   ,70.8   ,112.0   
2019,"1,193.6   ",36.2   ,"1,033.2   ",430.1   ,321.4   ,207.4   ,74.2   ,124.2   
2020,"1,267.6   ",32.0   ,"1,031.3   ",405.0   ,324.6   ,221.7   ,80.0   ,204.4   
2021,"1,334.0   ",33.8   ,"1,141.5   ",458.3   ,352.3   ,245.2   ,85.6   ,158.7   
2022,"1,376.7   ",34.9   ,"1,203.2   ",495.2   ,357.5   ,263.1   ,87.3   ,138.7   
2023,"1,519.7   ",38.2   ,"1,322.8   ",559.4   ,379.0   ,283.1   ,101.3   ,158.6   
,Average Annual Percent Change from Previous Year Shown,,,,,,,
19705,11.7%,2.8%,15.6%,10.7%,—,—,6.7%,7.6%
1980,14.0   ,8.2   ,15.2   ,15.3   ,17.2   ,13.3   ,11.6   ,11.2   
1990,9.6   ,7.6   ,10.0   ,10.1   ,9.9   ,11.2   ,7.6   ,8.1   
2000,5.2   ,1.9   ,5.7   ,3.9   ,6.3   ,10.3   ,3.4   ,3.1   
2001,8.1   ,2.5   ,9.1   ,8.7   ,9.5   ,9.1   ,9.1   ,2.6   
2002,8.3   ,11.1   ,8.6   ,10.3   ,6.3   ,9.2   ,9.3   ,4.6   
2003,8.1   ,11.2   ,7.6   ,9.0   ,5.1   ,6.9   ,14.8   ,11.1   
2004,7.5   ,7.7   ,7.9   ,8.4   ,7.8   ,7.2   ,7.4   ,4.0   
2005,7.7   ,7.6   ,7.9   ,8.2   ,8.4   ,7.2   ,5.7   ,5.3   
2006,7.0   ,7.0   ,6.7   ,9.2   ,4.7   ,4.9   ,6.4   ,9.9   
2007,6.2   ,4.8   ,6.0   ,6.7   ,4.6   ,7.7   ,3.3   ,9.1   
2008,4.3   ,5.1   ,5.5   ,4.2   ,6.5   ,4.8   ,10.9   ,-5.8   
2009,6.8   ,8.5   ,6.5   ,6.4   ,4.3   ,9.0   ,11.2   ,9.1   
2010,4.9   ,7.9   ,4.1   ,3.8   ,2.8   ,6.1   ,6.7   ,10.6   
2011,3.0   ,5.1   ,3.2   ,3.9   ,3.2   ,1.5   ,3.9   ,1.1   
2012,5.4   ,9.1   ,4.8   ,5.8   ,4.5   ,4.4   ,1.9   ,9.0   
2013,3.3   ,7.1   ,2.7   ,1.0   ,3.5   ,4.3   ,4.6   ,7.0   
2014,3.7   ,-2.2   ,4.5   ,2.8   ,2.9   ,9.3   ,6.8   ,-0.2   
2015,5.2   ,-5.6   ,6.4   ,7.9   ,3.3   ,8.4   ,5.3   ,-1.3   
2016,4.7   ,2.9   ,4.7   ,6.2   ,4.7   ,2.1   ,3.8   ,5.4   
2017,4.1   ,3.7   ,3.9   ,4.5   ,4.6   ,1.1   ,5.2   ,6.0   
2018,4.2   ,4.4   ,4.2   ,4.3   ,5.6   ,2.9   ,1.4   ,3.8   
2019,6.3   ,6.1   ,5.8   ,6.1   ,6.2   ,4.8   ,4.9   ,11.0   
2020,6.2   ,-11.6   ,-0.2   ,-5.8   ,1.0   ,6.9   ,7.8   ,64.5   
2021,5.2   ,5.9   ,10.7   ,13.2   ,8.5   ,10.6   ,7.0   ,-22.3   
2022,3.2   ,3.0   ,5.4   ,8.0   ,1.5   ,7.3   ,2.0   ,-12.6   
