"Table 11 
Other Professional Services Expenditures; Levels, Percent Change, and Percent Distribution, by Source of Funds: Selected Calendar Years 1970-2023",,,,,,,,
 , , ,,Health Insurance2,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4
,Amount in Billions,,,,,,,
1970,$0.7   ,$0.3   ,$0.1   ,$0.0   ,$0.0   ,$0.0   ,—,$0.3   
1980,3.5   ,1.7   ,1.1   ,0.8   ,0.2   ,0.2   ,—,0.7   
1990,17.3   ,5.9   ,7.5   ,6.0   ,1.1   ,0.4   ,—,3.9   
2000,36.6   ,10.6   ,19.3   ,12.6   ,5.1   ,1.6   ,0.1   ,6.7   
2001,40.3   ,11.2   ,22.0   ,13.7   ,6.4   ,1.8   ,0.1   ,7.1   
2002,43.3   ,11.9   ,23.9   ,15.0   ,6.6   ,2.2   ,0.1   ,7.5   
2003,46.5   ,12.6   ,26.2   ,16.5   ,7.3   ,2.4   ,0.1   ,7.7   
2004,50.2   ,13.4   ,28.9   ,17.8   ,8.1   ,2.9   ,0.1   ,7.9   
2005,52.8   ,13.8   ,30.9   ,18.4   ,9.2   ,3.2   ,0.1   ,8.1   
2006,55.3   ,14.4   ,32.6   ,19.3   ,10.0   ,3.2   ,0.2   ,8.2   
2007,60.1   ,15.8   ,35.4   ,21.2   ,10.7   ,3.5   ,0.1   ,8.8   
2008,64.5   ,16.9   ,38.6   ,22.5   ,12.0   ,3.8   ,0.2   ,9.1   
2009,67.0   ,17.0   ,40.9   ,22.7   ,13.4   ,4.7   ,0.2   ,9.2   
2010,69.9   ,17.7   ,42.7   ,23.5   ,14.1   ,5.0   ,0.2   ,9.5   
2011,72.8   ,18.3   ,44.7   ,24.6   ,15.1   ,4.8   ,0.2   ,9.8   
2012,76.4   ,19.1   ,47.1   ,25.8   ,16.2   ,4.8   ,0.2   ,10.2   
2013,78.0   ,19.3   ,48.5   ,25.7   ,17.5   ,5.1   ,0.3   ,10.2   
2014,82.4   ,20.4   ,51.4   ,26.5   ,18.7   ,6.0   ,0.3   ,10.5   
2015,87.3   ,21.5   ,55.0   ,27.7   ,20.2   ,6.8   ,0.3   ,10.8   
2016,92.1   ,22.6   ,58.3   ,29.4   ,21.2   ,7.3   ,0.3   ,11.2   
2017,96.9   ,23.8   ,61.5   ,30.6   ,23.2   ,7.3   ,0.4   ,11.6   
2018,104.5   ,25.8   ,66.5   ,32.8   ,25.6   ,7.7   ,0.4   ,12.2   
2019,110.9   ,26.9   ,71.4   ,34.2   ,28.7   ,8.1   ,0.4   ,12.6   
2020,118.0   ,26.4   ,71.1   ,33.6   ,28.8   ,8.3   ,0.5   ,20.4   
2021,134.5   ,31.4   ,85.6   ,39.7   ,35.9   ,9.5   ,0.5   ,17.5   
2022,142.7   ,34.0   ,94.5   ,43.2   ,39.8   ,10.9   ,0.5   ,14.2   
2023,159.9   ,37.9   ,106.8   ,48.1   ,46.1   ,12.0   ,0.6   ,15.2   
,Average Annual Percent Change from Previous Year Shown,,,,,,,
19705,6.3%,-0.6%,28.8%,17.6%,—,—,—,21.4%
1980,17.0   ,17.8   ,27.7   ,34.8   ,25.0   ,16.4   ,—,8.7   
1990,17.4   ,13.6   ,21.0   ,22.8   ,20.9   ,9.4   ,—,18.4   
2000,7.8   ,6.1   ,9.9   ,7.7   ,16.5   ,13.4   ,—,5.7   
2001,9.9   ,5.6   ,13.8   ,9.2   ,24.2   ,15.5   ,30.9   ,5.4   
2002,7.6   ,6.4   ,8.8   ,9.1   ,3.8   ,22.1   ,62.6   ,5.9   
2003,7.3   ,5.8   ,9.7   ,10.0   ,10.4   ,7.1   ,-6.0   ,2.1   
2004,7.9   ,6.2   ,10.1   ,8.1   ,10.7   ,23.2   ,-6.3   ,3.2   
2005,5.1   ,2.7   ,6.9   ,3.1   ,14.0   ,9.6   ,14.7   ,3.0   
2006,4.7   ,4.8   ,5.5   ,4.9   ,8.0   ,0.7   ,42.2   ,1.2   
2007,8.7   ,9.7   ,8.7   ,10.0   ,7.1   ,7.0   ,-14.6   ,6.9   
2008,7.4   ,6.6   ,8.8   ,6.3   ,13.0   ,11.1   ,10.7   ,3.1   
2009,4.0   ,0.8   ,6.0   ,0.7   ,11.0   ,21.3   ,7.3   ,1.2   
2010,4.3   ,4.0   ,4.6   ,3.8   ,5.2   ,6.7   ,-4.1   ,3.2   
2011,4.2   ,3.6   ,4.6   ,4.5   ,7.6   ,-3.4   ,22.1   ,2.9   
2012,5.0   ,4.4   ,5.3   ,5.1   ,7.4   ,-0.2   ,10.5   ,4.6   
2013,2.1   ,0.8   ,3.0   ,-0.5   ,7.4   ,6.5   ,11.8   ,0.3   
2014,5.6   ,6.1   ,6.0   ,3.0   ,7.2   ,17.2   ,-0.5   ,2.8   
2015,6.0   ,5.0   ,7.1   ,4.6   ,8.1   ,14.6   ,15.6   ,3.0   
2016,5.4   ,5.3   ,5.9   ,6.3   ,5.1   ,6.3   ,13.7   ,3.6   
2017,5.3   ,5.4   ,5.6   ,4.0   ,9.4   ,0.6   ,15.5   ,3.2   
2018,7.8   ,8.4   ,8.0   ,7.2   ,10.2   ,4.7   ,4.8   ,5.6   
2019,6.1   ,4.4   ,7.4   ,4.3   ,12.0   ,5.6   ,8.7   ,2.8   
2020,6.3   ,-1.8   ,-0.4   ,-1.8   ,0.3   ,2.7   ,6.1   ,62.1   
2021,14.0   ,18.7   ,20.4   ,18.2   ,24.7   ,14.9   ,6.2   ,-14.1   
2022,6.1   ,8.5   ,10.3   ,8.9   ,11.0   ,13.9   ,8.5   ,-18.7   
2023,12.0   ,11.4   ,13.0   ,11.1   ,15.8   ,10.3   ,15.9   ,6.8   
,Percent Distribution,,,,,,,
1970,100.0%,44.3%,13.3%,5.3%,2.5%,5.5%,—,42.4%
1980,100.0   ,47.5   ,32.0   ,22.0   ,4.8   ,5.2   ,—,20.5   
1990,100.0   ,34.1   ,43.5   ,34.5   ,6.4   ,2.6   ,—,22.4   
2000,100.0   ,29.0   ,52.7   ,34.3   ,14.0   ,4.3   ,0.2   ,18.3   
2001,100.0   ,27.8   ,54.6   ,34.1   ,15.8   ,4.5   ,0.2   ,17.6   
2002,100.0   ,27.5   ,55.2   ,34.5   ,15.2   ,5.1   ,0.3   ,17.3   
2003,100.0   ,27.1   ,56.4   ,35.4   ,15.7   ,5.1   ,0.2   ,16.4   
2004,100.0   ,26.7   ,57.6   ,35.5   ,16.1   ,5.8   ,0.2   ,15.7   
2005,100.0   ,26.1   ,58.5   ,34.8   ,17.5   ,6.1   ,0.2   ,15.4   
2006,100.0   ,26.1   ,59.0   ,34.8   ,18.0   ,5.8   ,0.3   ,14.9   
2007,100.0   ,26.3   ,59.0   ,35.3   ,17.8   ,5.7   ,0.2   ,14.7   
2008,100.0   ,26.1   ,59.8   ,34.9   ,18.7   ,5.9   ,0.3   ,14.1   
2009,100.0   ,25.3   ,61.0   ,33.8   ,19.9   ,6.9   ,0.3   ,13.7   
