"Table 12 
Dental Services Expenditures; Levels, Percent Change, and Percent Distribution, 
by Source of Funds: Selected Calendar Years 1970-2023",,,,,,,,
 , , ,,Health Insurance2,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4
,Amount in Billions,,,,,,,
1970,4.7,4.2,0.4,0.2,—,0.2,0.1,0
1980,13.3,8.7,4.4,3.8,—,0.5,0.2,0.2
1990,31.6,15.3,15.7,14.7,0,0.8,0.3,0.6
2000,62.1,28.1,32.9,29.8,0.1,2.4,0.6,1.2
2001,67.7,29.7,36.7,32.8,0.1,3.1,0.7,1.2
2002,73.6,32.6,39.8,35,0.1,3.7,1,1.3
2003,76.3,34,41.1,35.9,0.1,4,1.1,1.2
2004,82.2,36.3,44.6,39,0.1,4.3,1.3,1.2
2005,87.2,38.5,47.4,41.3,0.1,4.6,1.5,1.3
2006,91.8,42.2,48.3,41.7,0.1,4.8,1.7,1.3
2007,97.7,44.7,51.7,44.4,0.2,5.2,1.9,1.3
2008,102.8,47.6,53.8,45.3,0.2,6.2,2,1.3
2009,103.4,45.7,56.3,46.1,0.3,7.6,2.2,1.4
2010,105.9,45.3,59.2,47.9,0.2,8.4,2.6,1.5
2011,108,46.1,60.4,48.9,0.3,8.5,2.8,1.5
2012,109.7,46.8,61.4,49.6,0.4,8.5,3,1.5
2013,111.4,47,62.9,50.6,0.5,8.7,3.1,1.5
2014,114.7,47.3,66,52.6,0.4,9.8,3.2,1.5
2015,120,50.4,68.1,52.9,0.5,11.2,3.5,1.5
2016,126.2,53,71.6,55.6,0.5,11.9,3.6,1.5
2017,131.1,54.8,74.8,57.9,0.9,12.2,3.8,1.6
2018,137.4,57.3,78.3,60.5,1.2,12.6,3.9,1.8
2019,143.7,60.4,81.4,62.2,1.9,13.2,4,1.9
2020,139.2,53.9,74.9,56.2,2.5,12.4,3.8,10.4
2021,164.4,65.1,90.4,65.9,4.6,15.2,4.7,8.9
2022,163.7,65.7,95.6,67,6.3,17.3,5.1,2.4
2023,173.8,67.6,104.1,69.1,10.3,18.9,5.7,2.1
,Average Annual Percent Change from Previous Year Shown,,,,,,,
19705,9%,8.3%,21.5%,18.7%,—,—,11.3%,4.4%
1980,10.9,7.4,25.7,33.3,—,12,7.7,23.4
1990,9,5.8,13.5,14.6,—,4.2,5.5,10.5
2000,7,6.2,7.7,7.3,44.4,12.2,8.1,7.2
2001,9,6,11.6,10,0.4,28.7,27,5.7
2002,8.8,9.5,8.3,6.7,-8.3,20,33,3.3
2003,3.6,4.4,3.2,2.4,-11.1,8.8,11,-3.1
2004,7.7,6.9,8.6,8.7,1.3,5.7,17.4,0.8
2005,6.1,6,6.2,5.9,21.3,7.3,12.6,4.2
2006,5.2,9.6,1.8,1.1,20,4.7,13.8,0.8
2007,6.5,6,7,6.4,59.1,9.1,13,2.2
2008,5.1,6.5,4.1,2,34.7,19.5,8.9,1
2009,0.6,-4.1,4.6,1.9,34,22.2,8.7,7.8
2010,2.4,-0.9,5.1,3.9,-18.4,9.9,17,3
2011,2,2,2.2,2,21.6,0.8,8.3,-2.3
2012,1.6,1.4,1.7,1.5,25.1,0.4,6,1.4
2013,1.5,0.4,2.4,2,30.2,2.6,4.6,1.7
2014,3,0.6,4.9,3.9,-14.8,12.1,3.6,-2.9
2015,4.6,6.6,3.3,0.7,12.4,14.9,9.1,-0.4
2016,5.2,5.3,5.1,5.1,12,5.9,3,5.5
2017,3.9,3.3,4.4,4.2,69.1,2.8,4.2,2.8
2018,4.8,4.7,4.7,4.4,38.4,3.5,4.2,14.6
2019,4.6,5.4,4,2.8,61.5,4.5,1.8,3.6
2020,-3.1,-10.8,-7.9,-9.7,30.6,-5.9,-5.3,455.1
2021,18.1,20.8,20.6,17.4,81.5,21.8,24,-14.6
2022,-0.4,0.9,5.7,1.6,36.3,13.9,7.2,-73.2
2023,6.2,2.9,8.9,3.2,65,9.6,12.9,-10.9
,Percent Distribution,,,,,,,
1970,100%,89.9%,9.5%,4.5%,—,3.4%,1.6%,0.6%
1980,100,65.3,33.1,28.2,—,3.8,1.2,1.6
1990,100,48.4,49.7,46.5,0,2.4,0.9,1.8
2000,100,45.2,53,48,0.1,3.9,0.9,1.9
2001,100,43.9,54.3,48.5,0.1,4.6,1.1,1.8
2002,100,44.2,54.1,47.6,0.1,5,1.4,1.7
2003,100,44.6,53.8,47,0.1,5.3,1.4,1.6
2004,100,44.2,54.3,47.4,0.1,5.2,1.6,1.5
2005,100,44.2,54.4,47.3,0.1,5.2,1.7,1.5
2006,100,46,52.6,45.5,0.1,5.2,1.8,1.4
2007,100,45.8,52.9,45.4,0.2,5.3,1.9,1.4
2008,100,46.3,52.3,44.1,0.2,6.1,2,1.3
2009,100,44.2,54.4,44.6,0.3,7.4,2.1,1.4
2010,100,42.7,55.9,45.2,0.2,7.9,2.5,1.4
2011,100,42.7,55.9,45.2,0.3,7.8,2.6,1.3
2012,100,42.6,56,45.2,0.3,7.7,2.7,1.3
2013,100,42.2,56.5,45.4,0.4,7.8,2.8,1.3
2014,100,41.2,57.5,45.8,0.4,8.5,2.8,1.3
2015,100,42,56.8,44.1,0.4,9.4,2.9,1.2
2016,100,42,56.8,44.1,0.4,9.4,2.9,1.2
2017,100,41.8,57,44.2,0.7,9.3,2.9,1.2
2018,100,41.7,57,44,0.9,9.2,2.9,1.3
2019,100,42.1,56.6,43.3,1.3,9.2,2.8,1.3
2020,100,38.7,53.8,40.3,1.8,8.9,2.7,7.5
2021,100,39.6,55,40.1,2.8,9.2,2.9,5.4
2022,100,40.1,58.4,40.9,3.8,10.5,3.1,1.5
2023,100,38.9,59.9,39.8,5.9,10.9,3.3,1.2
