"Table  16
Retail Prescription Drugs Expenditures; Levels, Percent Change, and Percent Distribution, 
by Source of Funds: Selected Calendar Years 1970-2023",,,,,,,,
 , , ,,Health Insurance2,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4
,Amount in Billions,,,,,,,
1970,5.5,4.5,0.9,0.5,0,0.4,0,0.1
1980,12,8.6,3.1,1.7,0,1.4,0,0.3
1990,40.3,23.1,15.7,10.3,0.2,5.1,0.1,1.5
2000,122,34.7,83.4,59.9,1.6,19.8,2.1,3.9
2001,140.6,37.7,98.2,70.1,1.8,23.4,2.9,4.6
2002,159.8,45.5,109.2,75.5,1.9,27.5,4.3,5.2
2003,179.7,50.1,123.8,83.8,1.9,32.2,5.9,5.8
2004,195.6,52.6,137.1,91.9,2.7,35.9,6.7,5.9
2005,208.6,55.8,146.6,99.5,3.2,36.5,7.4,6.3
2006,228.1,56.5,165.4,99.6,38.6,19.1,8.2,6.2
2007,239.3,56.8,176.7,104.9,44.6,18.3,8.8,5.9
2008,244.3,54.3,184.4,107.7,48.8,19.2,8.7,5.7
2009,254.3,51.7,196.8,115.1,52.2,20.4,9.1,5.7
2010,253.4,47.7,200.2,114.3,56.3,20.4,9.1,5.5
2011,256.3,45.3,205.8,115.4,60.3,20.8,9.4,5.3
2012,257,45.1,207.3,112.8,63.9,21,9.5,4.6
2013,259.4,44.7,210.2,110.1,69.8,21.2,9.2,4.5
2014,290.7,48.6,237.8,122.8,79.5,25.3,10.2,4.3
2015,312.2,51.8,255.9,130.7,86.4,27.7,11.1,4.5
2016,313.3,50.2,258.8,129.3,89.9,29.3,10.3,4.4
2017,315.7,46,265.4,131.7,93.5,29.4,10.8,4.3
2018,322.7,46.4,271.9,133.2,97.2,30.8,10.7,4.4
2019,337.3,47.3,285.4,138.1,104.6,31.7,11,4.5
2020,351,47.6,299,140.8,111.6,34.4,12.1,4.3
2021,374.3,50.6,319.3,148.9,118.2,39.7,12.4,4.5
2022,403.6,56.7,342.2,154.2,128.9,45.7,13.4,4.6
2023,449.7,58.3,386.4,175.5,144.6,51,15.2,5
,Average Annual Percent Change from Previous Year Shown,,,,,,,
19705,7.5%,5.9%,37.3%,30%,—,—,4.7%,0.5%
1980,8.2,6.6,13.5,14.1,—,12.9,14.2,13.9
1990,12.8,10.3,17.4,19.7,—,13.7,14.8,19
2000,11.7,4.2,18.2,19.2,25.9,14.6,36.5,10.1
2001,15.2,8.7,17.8,17,15.7,18.2,39,18.1
2002,13.7,20.4,11.1,7.7,3,17.7,44.8,12.5
2003,12.4,10.2,13.4,10.9,-0.1,17.1,38.5,11.6
2004,8.9,5,10.8,9.6,45.4,11.2,13.3,2.4
2005,6.6,6,6.9,8.3,16.6,1.9,10.5,6
2006,9.4,1.3,12.9,0.1,1121.6,-47.7,10.4,-1.3
2007,4.9,0.5,6.8,5.4,15.7,-4.1,7.4,-4.8
2008,2.1,-4.4,4.4,2.6,9.3,4.9,-1.2,-3.7
2009,4.1,-4.8,6.8,6.9,7,5.8,5.6,1.1
2010,-0.3,-7.6,1.7,-0.7,7.8,0.3,-0.5,-4.7
2011,1.2,-5.2,2.8,0.9,7.1,1.8,3.3,-3.9
2012,0.3,-0.3,0.7,-2.2,6.1,1.3,1.1,-13.4
2013,0.9,-1,1.4,-2.4,9.1,0.5,-3.4,-0.6
2014,12.1,8.7,13.1,11.6,13.9,19.4,11,-4
2015,7.4,6.7,7.6,6.4,8.7,9.6,9.4,2.9
2016,0.4,-3.1,1.1,-1.1,4.1,5.9,-7.6,-2.2
2017,0.7,-8.4,2.6,1.9,4.1,0.3,4.9,-2.4
2018,2.2,0.9,2.5,1.2,3.9,4.6,-0.7,3.1
2019,4.5,1.9,5,3.7,7.6,3.2,2.2,2.4
2020,4.1,0.6,4.8,2,6.7,8.5,10.5,-4.5
2021,6.7,6.3,6.8,5.7,5.9,15.4,2.4,3.3
2022,7.8,12,7.2,3.5,9,15,8.3,4.1
2023,11.4,2.8,12.9,13.8,12.2,11.7,13.1,8.9
,Percent Distribution,,,,,,,
1970,100%,82.7%,16%,8.3%,0%,7.6%,0.1%,1.3%
1980,100,71.8,26,14.2,0,11.7,0.2,2.2
1990,100,57.4,38.9,25.7,0.4,12.6,0.2,3.7
2000,100,28.5,68.3,49.1,1.3,16.2,1.7,3.2
2001,100,26.8,69.9,49.9,1.3,16.6,2.1,3.3
2002,100,28.4,68.3,47.3,1.2,17.2,2.7,3.2
2003,100,27.9,68.9,46.6,1,17.9,3.3,3.2
2004,100,26.9,70.1,47,1.4,18.3,3.4,3
2005,100,26.7,70.3,47.7,1.5,17.5,3.5,3
2006,100,24.8,72.5,43.7,16.9,8.4,3.6,2.7
2007,100,23.7,73.8,43.8,18.7,7.7,3.7,2.5
2008,100,22.2,75.5,44.1,20,7.9,3.5,2.3
2009,100,20.3,77.4,45.3,20.5,8,3.6,2.3
2010,100,18.8,79,45.1,22.2,8.1,3.6,2.2
2011,100,17.7,80.3,45,23.5,8.1,3.7,2.1
2012,100,17.6,80.7,43.9,24.9,8.2,3.7,1.8
2013,100,17.2,81,42.4,26.9,8.2,3.5,1.7
2014,100,16.7,81.8,42.3,27.3,8.7,3.5,1.5
2015,100,16.6,82,41.9,27.7,8.9,3.6,1.4
2016,100,16,82.6,41.3,28.7,9.4,3.3,1.4
2017,100,14.6,84.1,41.7,29.6,9.3,3.4,1.4
2018,100,14.4,84.3,41.3,30.1,9.5,3.3,1.4
2019,100,14,84.6,41,31,9.4,3.3,1.3
2020,100,13.6,85.2,40.1,31.8,9.8,3.5,1.2
2021,100,13.5,85.3,39.8,31.6,10.6,3.3,1.2
