"Table 20
Private Health Insurance Benefits and Net Cost; Levels, Annual Percent Change and Percent Distribution, Selected Calendar Years 1960-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1970,1980,1990,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Private Health Insurance,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Health Consumption Expenditures,5.6,15.1,67.1,225.9,441,483.4,537.5,589.3,626.1,671.1,705.7,748.6,769.7,794.8,820.2,851,878.1,879.3,922.5,976.3,1028.3,1077.8,1124.3,1152.9,1147.9,1230.3,1313.8,1464.6
Private Health Insurance Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Personal Health Care,4.9,13.8,60.3,200.1,394.8,433,472.7,511.8,545.6,587.1,618.5,656.2,679.6,709.2,725.4,752.5,778.7,779.8,815.1,869.6,916.4,955.7,985.5,1025.5,998.4,1099.6,1179.8,1313.9
        Hospital ,3.1,8.7,36.1,94.7,138.2,150.3,165.8,180.8,196,212.2,231.7,247.1,257.6,274,284.4,295.5,312.6,315.6,324.5,350.1,371.7,388.4,405.3,430.1,405,458.3,495.2,559.4
        Physician and Clinical Services,1.6,4.1,16.3,65.6,131.7,144.1,157.6,171.3,176.9,190,199.2,209.9,217.5,221.3,223.7,233.8,241.1,239.7,247.9,263.8,283.6,297.8,300.8,304,306,325.3,352.9,386
        Dental Services,0,0.2,3.8,14.7,29.8,32.8,35,35.9,39,41.3,41.7,44.4,45.3,46.1,47.9,48.9,49.6,50.6,52.6,52.9,55.6,57.9,60.5,62.2,56.2,65.9,67,69.1
        Other Professional Services,0,0,0.8,6,12.6,13.7,15,16.5,17.8,18.4,19.3,21.2,22.5,22.7,23.5,24.6,25.8,25.7,26.5,27.7,29.4,30.6,32.8,34.2,33.6,39.7,43.2,48.1
"        Other Health, Residential, and Personal Care ",0,0.1,0.6,1.7,3.8,4,4.5,4.9,5.8,6.2,6.7,7.2,7.5,8.1,8.9,10,10,9.9,10.6,11.7,12.1,12.4,12.6,13.4,13.6,14.8,15.8,17.6
        Home Health Care,0,0,0.3,2.9,7.7,6.8,6.5,6.7,6.5,6.7,5.6,5.3,5.2,5,5.1,6,7.1,8.5,9.8,10.4,11.6,13.2,14.4,15.7,15.8,15.7,18,21.5
        Nursing Care Facilities and Continuing Care Retirement Communities,0,0,0.2,2.7,7.2,7.5,7.9,7.2,6.6,6.9,7.8,8.6,9.2,9.8,10.6,10.9,11.5,11.5,12.1,13.4,13.7,14.2,15.5,16.7,16.6,16.3,18.2,20.6
        Prescription Drugs,0,0.5,1.7,10.3,59.9,70.1,75.5,83.8,91.9,99.5,99.6,104.9,107.7,115.1,114.3,115.4,112.8,110.1,122.8,130.7,129.3,131.7,133.2,138.1,140.8,148.9,154.2,175.5
        Other Non-durable Medical Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
