"Table 24 
Employer-Sponsored Private Health Insurance: Calendar Years 1987-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,                         Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employer-Sponsored Private Health
    Insurance",132.5,156.5,183.5,209.9,229.4,247.3,264.8,277.5,293.9,312.2,327.4,348.8,377.3,415.2,456.1,507.1,555.8,590.9,635.4,670.8,714.3,734.8,756.5,778.3,806.3,831,828.3,841.2,874.9,918.1,962.2,994.7,1023.9,1016.4,1088,1159.1,1286.3
"  Employer Contribution to Private
     Health Insurance Premiums ",101.9,118.9,139.2,159.9,172.5,187,199.8,209.2,218.4,233.8,241,256.8,282.8,312.9,342.2,376.6,413.1,437.8,470.8,492.9,522.6,526.4,544.1,561.1,587.3,602.2,601,620.3,641.3,674.8,702.2,730.9,747,731.8,795.5,842.3,941.1
     Private Employers1,81.6,93.9,109.5,124.7,133.6,144.6,153.6,160.2,169.6,182.7,186.8,200.7,220.7,244.1,264.7,287.3,313,328.4,351.1,361.9,383,385.2,394.3,395.4,413.7,426.2,420.9,432.2,443.6,467.7,493.3,516.4,534.1,523.2,568.7,607,685.9
     Federal Employers,4.9,6.4,8.1,9.9,9.8,10.7,11.5,11.9,11.4,11.3,11.4,11.4,13.2,14.3,15.8,17.7,19.7,21.6,23.1,24.3,24.6,25.1,26.8,28.5,30.8,31.5,32.4,33.2,33.9,36.2,37.5,38.3,38.6,39.8,41,41.5,44.1
     State and Local Employers2,15.5,18.6,21.6,25.4,29.1,31.7,34.7,37.2,37.4,39.7,42.8,44.7,48.9,54.4,61.7,71.6,80.5,87.9,96.5,106.7,115,116,123,137.2,142.9,144.5,147.7,155,163.7,170.9,171.5,176.2,174.4,168.8,185.7,193.8,211.2
"  Employee Contribution to Private
    Health Insurance Premiums ",30.6,37.6,44.3,50,56.9,60.3,65,68.3,75.5,78.4,86.3,92,94.5,102.3,113.9,130.5,142.7,153.1,164.6,177.9,191.6,208.4,212.4,217.2,219,228.9,227.3,220.9,233.6,243.3,260,263.8,276.8,284.6,292.5,316.9,345.2
     Private Employees,24.1,29.6,34.8,40.3,45.6,48.4,52.2,54.9,61,63.6,70.1,74.1,76.4,82.8,92,105.7,115.9,124.6,132.6,143.9,155.6,170.7,172.6,171.9,170.3,177.3,175.5,168.2,175.7,184.6,196,198.9,212.9,218.8,225,243,265
     Federal Employees,2.4,2.9,3.3,2.6,3.3,3.5,3.8,3.9,3.9,4,4.1,5.2,4.9,5.3,5.9,6.6,7.3,8,8.4,9.2,9.3,9.8,10.7,11.7,12.8,13,13.2,13.5,14,15,15.7,16.3,16.4,17,17.6,18,19.3
     State and Local Employees,4.1,5.1,6.1,7.1,8,8.3,9,9.4,10.6,10.8,12.1,12.7,13.2,14.3,16,18.2,19.4,20.6,23.6,24.8,26.7,28,29.2,33.6,35.9,38.6,38.6,39.1,43.9,43.7,48.2,48.5,47.6,48.7,49.9,55.8,60.8
,Annual Percent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employer-Sponsored Private Health
    Insurance", ,18.1%,17.2%,14.4%,9.3%,7.8%,7.1%,4.8%,5.9%,6.3%,4.8%,6.5%,8.2%,10%,9.8%,11.2%,9.6%,6.3%,7.5%,5.6%,6.5%,2.9%,3%,2.9%,3.6%,3.1%,-0.3%,1.6%,4%,4.9%,4.8%,3.4%,2.9%,-0.7%,7%,6.5%,11%
"  Employer Contribution to Private
     Health Insurance Premiums ",,16.7,17,14.9,7.9,8.4,6.9,4.7,4.4,7.1,3.1,6.5,10.1,10.6,9.4,10.1,9.7,6,7.5,4.7,6,0.7,3.4,3.1,4.7,2.5,-0.2,3.2,3.4,5.2,4.1,4.1,2.2,-2,8.7,5.9,11.7
     Private Employers1,,15.1,16.6,13.9,7.1,8.3,6.2,4.3,5.9,7.8,2.2,7.5,10,10.6,8.4,8.5,8.9,4.9,6.9,3.1,5.8,0.6,2.4,0.3,4.6,3,-1.2,2.7,2.6,5.4,5.5,4.7,3.4,-2,8.7,6.7,13
     Federal Employers,,32.1,26,22.1,-0.8,9,7.8,3.5,-4.4,-0.3,0.5,0.2,15.7,8.2,10.2,12.1,11.6,9.4,7.3,5,1.5,2,6.5,6.3,8,2.5,2.6,2.6,2.1,6.6,3.6,2.3,0.6,3.2,3.1,1,6.2
     State and Local Employers2,,20.3,16.2,17.3,14.8,8.7,9.7,7,0.8,6.1,7.8,4.3,9.4,11.4,13.4,16,12.4,9.2,9.8,10.6,7.8,0.9,6,11.5,4.2,1.1,2.3,4.9,5.7,4.4,0.4,2.8,-1,-3.2,10,4.4,9
"  Employee Contribution to Private
    Health Insurance Premiums ",,22.7,17.9,12.9,13.9,5.9,7.7,5.1,10.5,3.9,10.1,6.6,2.7,8.3,11.3,14.6,9.3,7.3,7.5,8,7.7,8.7,1.9,2.3,0.8,4.5,-0.7,-2.8,5.8,4.2,6.8,1.5,4.9,2.8,2.8,8.3,8.9
     Private Employees,,22.6,17.8,15.8,13.2,6.1,7.8,5.3,11,4.2,10.3,5.8,3.1,8.4,11.1,14.9,9.6,7.5,6.4,8.6,8.1,9.7,1.1,-0.4,-0.9,4.1,-1,-4.1,4.4,5.1,6.1,1.5,7,2.8,2.8,8,9.1
     Federal Employees,,19.7,15.2,-21.4,27.2,6.7,7.4,3.3,-0.9,3.9,1.7,25.5,-4.4,7.2,12.3,11.4,11.2,8.3,5.6,9,2.1,4.4,9.3,10.2,8.8,1.5,2.1,2.3,3.4,6.9,5.1,3.7,0.3,4,3.6,2.3,7.2
     State and Local Employees,,25.2,19.8,14.8,13,4.6,7.4,4.9,12.7,2.1,12.3,4.7,3.8,8,12.2,13.6,6.9,5.9,14.7,4.9,7.8,4.8,4.5,15,6.8,7.6,-0.1,1.4,12.4,-0.5,10.3,0.6,-2,2.4,2.5,11.8,9
,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employer-Sponsored Private Health
    Insurance",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
"  Employer Contribution to Private
     Health Insurance Premiums ",76.9,76,75.9,76.2,75.2,75.6,75.5,75.4,74.3,74.9,73.6,73.6,75,75.4,75,74.3,74.3,74.1,74.1,73.5,73.2,71.6,71.9,72.1,72.8,72.5,72.6,73.7,73.3,73.5,73,73.5,73,72,73.1,72.7,73.2
     Private Employers1,61.6,60,59.7,59.4,58.2,58.5,58,57.7,57.7,58.5,57.1,57.5,58.5,58.8,58,56.7,56.3,55.6,55.3,54,53.6,52.4,52.1,50.8,51.3,51.3,50.8,51.4,50.7,50.9,51.3,51.9,52.2,51.5,52.3,52.4,53.3
     Federal Employers,3.7,4.1,4.4,4.7,4.3,4.3,4.3,4.3,3.9,3.6,3.5,3.3,3.5,3.4,3.5,3.5,3.5,3.6,3.6,3.6,3.5,3.4,3.5,3.7,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.9,3.8,3.6,3.4
     State and Local Employers2,11.7,11.9,11.8,12.1,12.7,12.8,13.1,13.4,12.7,12.7,13.1,12.8,12.9,13.1,13.5,14.1,14.5,14.9,15.2,15.9,16.1,15.8,16.3,17.6,17.7,17.4,17.8,18.4,18.7,18.6,17.8,17.7,17,16.6,17.1,16.7,16.4
"  Employee Contribution to Private
    Health Insurance Premiums ",23.1,24,24.1,23.8,24.8,24.4,24.5,24.6,25.7,25.1,26.4,26.4,25,24.6,25,25.7,25.7,25.9,25.9,26.5,26.8,28.4,28.1,27.9,27.2,27.5,27.4,26.3,26.7,26.5,27,26.5,27,28,26.9,27.3,26.8
