Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Chg_Avg_Spnd_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Overall,167193.78,761658,6538,2341,0.2197847893,25.572618538,71.419812046,0,139201.68,642471,5392,1878,0.2167879244,25.816335312,74.122300319,0,118923.24,547006,4457,1595,0.217701046,26.682351357,74.560025078,0,102280.76,459384,3708,1313,0.2230012539,27.583807983,77.898522468,0,70039.61,310304,2501,1147,0.225873987,28.004642143,61.063304272,0,0.0128821384,0.0068554988
1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Owen Mumford Us,167193.78,761658,6538,2341,0.2197847893,25.572618538,71.419812046,0,139201.68,642471,5392,1878,0.2167879244,25.816335312,74.122300319,0,118923.24,547006,4457,1595,0.217701046,26.682351357,74.560025078,0,102280.76,459384,3708,1313,0.2230012539,27.583807983,77.898522468,0,70039.61,310304,2501,1147,0.225873987,28.004642143,61.063304272,0,0.0128821384,0.0068554988
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Overall,369402.85,1813908,14931,5674,0.203657836,24.74066372,65.104485372,0,343031.42,1830596,14581,5319,0.1873888035,23.525918661,64.491712728,0,210217.15,1046616,8408,3905,0.200851195,25.002039724,53.832816901,0,131927.33,566872,4564,1766,0.2328115409,28.906075811,74.704037373,0,114601.54,486206,3846,1474,0.2357078344,29.797592304,77.748670285,0,0.0124405069,0.0372136493
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Owen Mumford Us,369402.85,1813908,14931,5674,0.203657836,24.74066372,65.104485372,0,343031.42,1830596,14581,5319,0.1873888035,23.525918661,64.491712728,0,210217.15,1046616,8408,3905,0.200851195,25.002039724,53.832816901,0,131927.33,566872,4564,1766,0.2328115409,28.906075811,74.704037373,0,114601.54,486206,3846,1474,0.2357078344,29.797592304,77.748670285,0,0.0124405069,0.0372136493
Abacavir,Abacavir Sulfate,6,Overall,10653423.32,3034767,40388,7359,4.0321546902,263.77694662,1447.6726892,0,10119967.63,3318767,42673,6085,3.4831510774,237.15153915,1663.1006787,0,9198597.07,2960286,37119,5068,3.4906128642,247.81370915,1815.0349388,0,7036063.99,2500817,30527,4254,3.1873452043,230.48658532,1653.9877739,0,6945563.71,2035106,24317,3452,3.8712355701,285.62584653,2012.0404722,0,0.2145642602,-0.010130134
Abacavir,Abacavir Sulfate,1,Mylan,1468380.35,329353,5307,1493,4.4583785482,276.68745996,983.50994642,0,1937920.78,500896,7984,1505,3.868908476,242.7255486,1287.6550033,0,1670937.94,414685,6225,1246,4.0294149535,268.42376546,1341.0416854,0,1040794.94,285628,4154,842,3.6438827426,250.55246509,1236.0985036,0,957143.18,217586,3116,595,4.3989189562,307.17046855,1608.644,0,0.2072065066,-0.003350955
Abacavir,Abacavir Sulfate,1,Rising Pharm,88001.92,175280,263,62,0.5020648106,334.60806084,1419.3858065,0,142257.84,312210,433,77,0.4556479293,328.54004619,1847.5044156,0,134219.38,284470,452,64,0.4718226175,296.94553097,2097.1778125,0,123118.64,262650,437,65,0.4687555302,281.73601831,1894.1329231,0,92432.25,196887,350,49,0.4694685276,264.09214286,1886.372449,0,0.0015210433,-0.016641955
Abacavir,Abacavir Sulfate,1,"Cipla USA, Inc.",227189.15,50997,832,241,4.4549512716,273.06388221,942.69356846,0,698311.33,192395,3311,698,3.6295710907,210.90647236,1000.4460315,0,758387.24,201025,3347,665,3.7726016167,226.58716463,1140.4319398,0,650297.1,204718,3276,651,3.1765506697,198.50338828,998.9202765,0,841670.56,282627,3500,705,2.9780260202,240.47730286,1193.8589504,0,-0.062496925,-0.095785676
Abacavir,Abacavir Sulfate,1,Major Pharmaceu,18653.71,4401,82,21,4.2385162463,227.48426829,888.27190476,0,9639.18,2474,44,16,3.896192401,219.07227273,602.44875,1,2218.37,1008,17,,2.2007638889,130.49235294,,1,8247.76,1889,39,,4.3662043409,211.48102564,,1,2507.96,619,23,,4.051631664,109.04173913,,1,-0.072047172,-0.01121009
Abacavir,Abacavir Sulfate,1,Camber Pharmace,4230093.55,1413429,16765,3360,3.6014263364,252.31694304,1258.9564137,0,4234275.07,1473874,17795,3305,3.1949178056,237.94746108,1281.1724871,0,4217073.33,1343347,16120,2951,3.3884973498,261.60504529,1429.0319654,0,3098891.42,1109140,12954,2373,3.0321813782,239.22274355,1305.8960893,0,3116371.97,846204,9763,1767,4.0909954694,319.2022913,1763.6513696,0,0.3491922016,0.0323777016
